"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"2370.2","703","Mercer","food","Resupply","Mangatāwhiri to Mercer","North","20","156","40.7","9.1","154","149","","","","","","","","","Service centre with food outlets; motel with camping."
"2379.4","693.8","Lower Mangatawhiri Campsite","campsite","Private","Mangatāwhiri to Mercer","North","20","12463","9.1","0","17","17","","","","","","","","","Facilities: Auckland Council"
"2379.4","693.8","Mangatangi Trig Campground","campsite","Private","Mangatāwhiri to Mercer","North","20","14887","0","23.3","0","0","","","","","","","","","Facilities: Auckland Council"
"2402.7","670.5","Repeater Campground","campsite","Private","Botanic Gardens to Mangatāwhiri","North","49","14474","23.3","0","574","545","","","","","","","","","Facilities: Auckland Council"
"2402.7","670.5","Upper Mangatawhiri Campground","campsite","Private","Botanic Gardens to Mangatāwhiri","North","49","15725","0","7.8","0","0","","","","","","","","","Facilities: Auckland Council"
"2410.5","662.7","Papakura","town","Resupply","Botanic Gardens to Mangatāwhiri","North","20","1357","7.8","36.4","17","47","","","","","","","","","Pak'nSave, Countdown, New World."
"2446.9","626.3","Ambury Regional Park","campsite","Private","Onehunga to Puhinui","North","1","53","36.4","3.5","132","151","","","","","09 301 0101","Ambury Road, Mangere","8am-6:30pm (winter), 8am-9pm (summer)","https://www.aucklandcouncil.govt.nz/parkmaps/map-ambury-regional-park.pdf","Facilities: Regional park, working farm, picnic sites, campervan parking, camping ground accommodation | Address: Ambury Road, Mangere | Phone: 09 301 0101 | Hours: 8am-6:30pm (winter), 8am-9pm (summer) | Website: https://www.aucklandcouncil.govt.nz/parkmaps/map-ambury-regional-park.pdf | Categories: Park"
"2450.4","622.8","Mangere Bridge","town","Resupply","Onehunga to Puhinui","North","2","395","3.5","15.4","12","11","","","","","","","","","FreshChoice, slightly off trail."
"2465.8","607.5","Auckland CBD","town","Resupply","Coast to Coast Walkway","North","40","598","15.4","1.8","288","250","","","","","","","","","Full resupply and gear replacement. Metro supermarkets are smaller than suburban ones."
"2467.6","605.6","Devonport","town","Resupply","North Shore Coastal Walk","North","4","227","1.8","19","7","43","","","","","","","","","New World. Ferry to the city."
"2486.6","586.6","Browns Bay","town","Resupply","North Shore Coastal Walk","North","1","136","19","23.7","295","298","","","","","","","","","New World and Countdown."
"2510.3","562.9","Silverdale","town","Resupply","Wenderholm to Stillwater","North","9","14","23.7","4.5","641","633","","","","","","","","","Silverdale Centre: Woolworths, Macpac, Kathmandu, ATMs."
"2514.8","558.4","Red Beach Top 10 Holiday Park","accommodation","Private","Wenderholm to Stillwater","North","1","649","4.5","0.1","69","77","","","","","(09) 426 4526","23 Marie Ave, Red Beach, Orewa, Hibiscus Coast, Auckland","","http://www.pinewoods.co.nz","Facilities: Holiday campground, caravans, tents, motor homes, children's playground, trampoline | Address: 23 Marie Ave, Red Beach, Orewa, Hibiscus Coast, Auckland | Phone: (09) 426 4526 | Website: http://www.pinewoods.co.nz | Categories: LodgingBusiness"
"2514.9","558.3","Ōrewa Beach Holiday Park","caravan-park","Private","Wenderholm to Stillwater","North","1","189","0.1","1.5","0","0","","","","","0800 673 921","265 Hibiscus Coast Highway, Orewa Beach","","https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3542#about","Facilities: Holiday park accommodation, tent sites for camping, powered sites for campervans, cabins | Address: 265 Hibiscus Coast Highway, Orewa Beach | Phone: 0800 673 921 | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3542#about | Categories: RVPark LodgingBusiness"
"2516.4","556.8","Orewa","town","Resupply","Wenderholm to Stillwater","North","0","486","1.5","7.4","0","1","","","","","","","","","New World and Countdown, cafes, outdoor shops."
"2523.8","549.4","Wenderholm Regional Park","campsite","Private","Wenderholm to Stillwater","North","16","392","7.4","10.3","112","96","","","","","(09) 301 0101","37 Schishka Rd,Hibiscus Coast, Rodney County","Summer: 6:00am - 9:00pm Winter: 6:00am - 7:00pm","https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3411","Facilities: camping, bbq, beach, picnic | Address: 37 Schishka Rd,Hibiscus Coast, Rodney County | Phone: (09) 301 0101 | Hours: Summer: 6:00am - 9:00pm Winter: 6:00am - 7:00pm | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3411 | Categories: Park"
"2534.1","539.1","Puhoi","resupply","Resupply","Pūhoi to Wenderholm Kayak","North","20","45","10.3","6","196","192","","","","","","","","","General store 7am-7pm, historic pub, three cafes."
"2540","533.2","Remiger Road Campsite","campsite","DOC","Govan Wilson to Pūhoi Valley","North","25","32","6","25","244","238","","","","Yes","","","","","Category: Backcountry | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Remiger Rd | Region: Puhoi"
"2565","508.2","Warkworth","town","Resupply","Govan Wilson to Pūhoi Valley","North","306","6000","25","13.3","1175","894","","","","","","","","","Countdown, New World and a Bin Inn. About 6 km off trail. Short detour off the Dome Valley section."
"2578.3","494.9","Happy Dayz Accomodation","accommodation","Private","Mt Tamahunga (Te Hīkoi O Te Kiri) Track","North","318","5007","13.3","6.8","632","621","","","","","09 422 7149","84 Omaha Flats Rd, Matakana","8:00am- 8:00pm","","Facilities: Backpacker accommodation, camping | Address: 84 Omaha Flats Rd, Matakana | Phone: 09 422 7149 | Hours: 8:00am- 8:00pm | Categories: Hostel LodgingBusiness"
"2585.1","488.1","Pakiri Beach Holiday Park","resupply","Resupply","Mt Tamahunga (Te Hīkoi O Te Kiri) Track","North","40","3","6.8","2.6","317","595","","","","","","","","","Camp store: food, drinks, milk, bread. 9am-5pm summer only."
"2587.7","485.5","Pakiri Beach Holiday Park","food","Private","Mt Tamahunga (Te Hīkoi O Te Kiri) Track","North","5","28","2.6","21.2","13","48","","","","","(09) 422 6199","261 Pakiri River Road, Pakiri","9:00am - 5:00pm","http://www.pakiriholidaypark.co.nz/","Facilities: Holiday park, campground, accommodation, lodges, flats, self contained units, store. Dump station. | Address: 261 Pakiri River Road, Pakiri | Phone: (09) 422 6199 | Hours: 9:00am - 5:00pm | Website: http://www.pakiriholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"2609","464.3","Riverside Holiday Park","accommodation","Private","Mangawhai to Pākiri","North","7","50","21.2","1.5","123","121","","","","","(09) 431 4825","Black Swamp Road, Mangawhai","","https://www.riversideholidaypark.co.nz/","Facilities: Holiday park accommodation, camping ground | Address: Black Swamp Road, Mangawhai | Phone: (09) 431 4825 | Website: https://www.riversideholidaypark.co.nz/ | Categories: LodgingBusiness"
"2610.4","462.8","Mangawhai","town","Resupply","Mangawhai to Pākiri","North","11","6","1.5","4.4","7","3","","","","","","","","","New World 1 km north of the village, plus a Four Square."
"2614.8","458.4","Mangawhai Heads","resupply","Resupply","Mangawhai to Pākiri","North","26","3","4.4","1.5","44","29","","","","","","","","","Four Square at 3 Wood St. Holiday park."
"2616.3","456.9","Mangawhai Heads Holiday Park","campsite","Private","Mangawhai to Pākiri","North","8","27","1.5","12.6","18","36","","","","","","","","",""
"2628.9","444.3","Waorahi Campsite","campsite","Private","Cullen Brynderwyn Walkway","North","261","19","12.6","8.6","658","405","","","","","","","","",""
"2637.5","435.7","Camp Waipu Cove","food","Private","Cullen Brynderwyn Walkway","North","65","951","8.6","7.4","222","418","","","","","(09) 432 0410","869 Cove Road, Waipu Cove Waipu 0582","","http://www.campwaipucove.com","Facilities: camping ground | Address: 869 Cove Road, Waipu Cove Waipu 0582 | Phone: (09) 432 0410 | Website: http://www.campwaipucove.com | Categories: BarOrPub"
"2644.8","428.4","Waipu","town","Resupply","Bream Bay Walk","North","17","11","7.4","6.9","22","70","","","","","","","","","Four Square, cafes, hotel with budget rooms. Camp Waipu Cove has a dairy."
"2651.7","421.5","Uretiti Beach Campsite","campsite","DOC","Bream Bay Walk","North","2","142","6.9","3.5","13","28","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6c1bd6b65cc247259685a1a3407b1ad8.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Waipu area | Region: Northland"
"2655.2","418","Ruakaka Reserve Motor Camp","caravan-park","Private","Bream Bay Walk","North","1","342","3.5","3.9","5","6","","","","","(09) 432 7590","21 Ruakaka Beach Road","","http://www.motorcamp.co.nz/","Facilities: motor camp | Address: 21 Ruakaka Beach Road | Phone: (09) 432 7590 | Website: http://www.motorcamp.co.nz/ | Categories: RVPark LodgingBusiness"
"2659.1","414.1","Ruakaka","town","Resupply","Bream Bay Walk","North","0","1281","3.9","6.8","1","3","","","","","","","","","FreshChoice supermarket and takeaways."
"2665.9","407.3","Whangarei","town","Resupply","Bream Bay Walk","North","2","36000","6.8","58.2","4","2","","","","","","","","","Countdown and Woolworths, hostels, buses. Inland from the Heads; a detour, not on route. Leave at the Whangarei Heads / Marsden Point crossing."
"2724.1","349.1","Nikau Bay","campsite","Private","Ngunguru to Pataua North","North","16","69","58.2","1.6","1922","1908","","","","","","","","",""
"2725.7","347.6","Ngunguru","resupply","Resupply","Waikare to Ngunguru","North","2","40","1.6","16.4","2","16","","","","","","","","","Four Square dairy and takeaway, plus cafes. Limited and expensive."
"2742","331.2","Matapouri","resupply","Resupply","Waikare to Ngunguru","North","19","2919","16.4","8.7","447","430","","","","","","","","","Small general store."
"2750.7","322.5","Whananaki","resupply","Resupply","Waikare to Ngunguru","North","6","1221","8.7","70.6","295","308","","","","","","","","","Whananaki Superette: limited supplies. Holiday park with a hut for TA walkers."
"2821.3","251.9","Opua","resupply","Resupply","Waikare Connection - by Water","North","0","49","70.6","3.4","1689","1695","","","","","","","","","Small general store, expensive. Ferry point."
"2824.7","248.5","Paihia Top 10 Holiday Park","accommodation","Private","Paihia to Ōpua Coastal Walkway","North","5","60","3.4","3.4","85","79","","","","","(09) 402 7678","1290 State Highway 11, Paihia,","9:00am - 6:00pm","http://www.beachsideholiday.co.nz","Facilities: Accommodation: powered caravan/campervan sites, tents, Kayak hire, dump station | Address: 1290 State Highway 11, Paihia, | Phone: (09) 402 7678 | Hours: 9:00am - 6:00pm | Website: http://www.beachsideholiday.co.nz | Categories: LodgingBusiness"
"2828","245.2","Paihia","town","Resupply","Paihia to Ōpua Coastal Walkway","North","5","16","3.4","23.6","65","65","","","","","","","","","Countdown Central plus a larger Countdown at Waitangi. Four Square on Williams Rd."
"2851.6","221.6","Kerikeri","town","Resupply","Mangakaretu to Kerikeri","North","39","729","23.6","23.2","504","470","","","","","","","","","New World and Countdown. Full resupply, hostels."
"2874.8","198.4","Puketi Forest Hut","hut","DOC","The Northland Forests","North","340","16","23.2","0.1","409","108","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/de31f23db252446cad29c2e6de41e3ef.aspx","Category: Serviced | Facilities: Cooking, Heating, Mattresses, Lighting, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping (booking required) next to hut included in The Trail Pass. | Place: Puketi and Omahuta Forests | Region: Northland"
"2874.8","198.4","Puketi Recreation Area Campsite","campsite","DOC","The Northland Forests","North","340","13","0.1","20.6","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0ae368ae422245ea85a7b4271edb7484.aspx","Category: Standard | Facilities: BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Shower - cold, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Puketi and Omahuta Forests | Region: Northland"
"2895.4","177.8","Blackbridge Road Campsite","campsite","DOC","The Northland Forests","North","302","71","20.6","16.5","708","746","","Yes","","Yes","","","","","Category: Backcountry | Facilities: Water, toilet | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Blackbridge Road | Region: Northland"
"2911.9","161.3","Mangamuka Bridge Dairy","food","Resupply","The Northland Forests","North","20","16","16.5","6.1","304","586","","","","","","","","","Dairy and takeaways on SH1, Mon-Fri 7am-6pm. Phone charging. Snacks only."
"2918","155.2","Makene Road Campsite","campsite","Private","The Northland Forests","North","41","26","6.1","39.2","37","16","","","","","trishterran@gmail.com","","","","Phone: trishterran@gmail.com"
"2957.2","116","Kaitaia","town","Resupply","The Northland Forests","North","19","304","39.2","13.2","1237","1259","","","","","","","","","Pak'nSave, Bells Produce, two bulk-food shops. 14 km inland from Ahipara; hitch or bus."
"2970.4","102.8","Ahipara","resupply","Resupply","The Northland Forests","North","16","2","13.2","1.3","57","60","","","","","","","","","Ahipara Superette: groceries and post shop. Cafe closes 2pm. First resupply after Cape Reinga."
"2971.7","101.5","Ahipara Holiday Park","accommodation","Private","The Northland Forests","North","7","233","1.3","14.1","1","10","","","","","(09) 409 4864","164-170 Takahe St, Ahipara","","https://ahiparaholidaypark.co.nz/","Facilities: Accommodation, tent and power sites for campervans and caravans, cabins and a self-contained lodge. | Address: 164-170 Takahe St, Ahipara | Phone: (09) 409 4864 | Website: https://ahiparaholidaypark.co.nz/ | Categories: LodgingBusiness"
"2985.8","87.4","Ngapae Holiday Park","caravan-park","Private","Cape Reinga to Ahipara","North","3","314","14.1","16.8","10","14","","","","","(09) 406 7298","6 Matai Street Waipapakauri 0486","9:00am - 6:00pm","https://www.ngapaeholidaypark.co.nz/","Facilities: Holiday park accommodation, campground, motorhomes, powered sites for campervans, tent sites for camping | Address: 6 Matai Street Waipapakauri 0486 | Phone: (09) 406 7298 | Hours: 9:00am - 6:00pm | Website: https://www.ngapaeholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"3002.6","70.6","Hukatere Lodge Camp","campsite","Private","Cape Reinga to Ahipara","North","2","454","16.8","29.9","15","17","","","","","","","","",""
"3032.5","40.7","The Bluff Campsite","campsite","Private","Cape Reinga to Ahipara","North","2","192","29.9","28.3","21","22","","","","","","","","",""
"3060.8","12.5","Twilight Campsite","campsite","DOC","Cape Reinga to Ahipara","North","21","18","28.3","0","188","168","","Yes","","Yes","","","","https://www.doc.govt.nz/link/5d631de0e3a5405e944f863a7bdbd36e.aspx","Category: Basic | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Te Paki Recreation Reserve | Region: Northland"
