"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Leg crosses","Leg gap km","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"1958.7","1958.7","Porters Creek Hut","hut","DOC","Richmond Alpine Track","South","895","2","6.8","11.3","572","519","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/6af41d9fa22b474cbf477321b3f0bde1.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1970","1970","Red Hills Hut","hut","DOC","Richmond Alpine Track","South","904","53","11.3","20.5","680","671","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4aa7dc66ccc147b6999349d86e6eafd0.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mount Richmond Forest Park | Region: Nelson/Tasman"
"1990.5","1990.5","St Arnaud","resupply","Resupply","Richmond Alpine Track","South","640","5","20.5","0.7","714","978","","","","","","","","","","","General store and 24 hr NPD station; DoC centre sells gas and dehydrated meals. Alpine Lodge holds parcels ($15-30). Expensive. Accepts resupply boxes."
"1991.1","1991.1","Kerr Bay Campsite","campsite","DOC","Waiau Pass Track","South","628","110","0.7","8.9","0","12","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/d734a70dd6584ff995102388fb169168.aspx","Category: Serviced | Facilities: Boat launching, Cookers/electric stove, Dump station, Non-powered/tent sites, Powered sites, Shelter for cooking, Shower - hot, Toilets - flush, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2000.1","2000.1","Speargrass Hut","hut","DOC","Waiau Pass Track","South","620","6044","8.9","0.1","132","140","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/2be981dc0ba74ba991bc690139b81282.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2000.2","2000.2","Coldwater Hut","hut","DOC","Waiau Pass Track","South","620","425","0.1","0.8","0","0","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/ec243547389e4a94b83f927a8a98afa9.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2001","2001","Lakehead Hut","hut","DOC","Waiau Pass Track","South","621","9","0.8","10.9","3","2","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/9f587ce82e1844828f736a7c2dbc5a67.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2012","2012","Sabine Hut","hut","DOC","Waiau Pass Track","South","738","10458","10.9","3.6","253","136","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/a3f4c1f4e4bd4f3b9b883368e1386e96.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2015.5","2015.5","John Tait Hut","hut","DOC","Waiau Pass Track","South","813","5","3.6","6.2","135","60","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/9365d0e637ea4bc59f3dd2692b942f7c.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2021.8","2021.8","Upper Travers Hut","hut","DOC","Waiau Pass Track","South","1319","47","6.2","8.1","558","52","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/ed5dfe642ef840c7bac4187bef46cb08.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2029.9","2029.9","West Sabine Hut","hut","DOC","Waiau Pass Track","South","680","8","8.1","7.2","614","1253","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/9bd89fc2385b420a88ef166676c48f6d.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2037.1","2037.1","Blue Lake Hut","hut","DOC","Waiau Pass Track","South","1192","47","7.2","16.3","558","46","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0f9daff8b2c44b1a9c2260c216c7f236.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. | Place: Nelson Lakes National Park | Region: Nelson/Tasman"
"2053.4","2053.4","Waiau Hut","hut","DOC","Waiau Pass Track","South","859","20","16.3","15.6","876","1209","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/3f5b4b54c38b4425b5e6091741e84aed.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: St James Conservation Area | Region: Canterbury"
"2069","2069","Christopher Hut","hut","DOC","Waiau Pass Track","South","758","4320","15.6","0","51","152","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/37715c0b499e4cb3a714175e030a850d.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: St James Conservation Area | Region: Canterbury"
"2069","2069","Christopher (Ada) Cullers Hut","hut","DOC","Waiau Pass Track","South","758","5113","0","10.4","0","0","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/f61e5cf3abc642b89851966f6f375c89.aspx","Category: Basic | Facilities: Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Included in The Trail Pass | Place: St James Conservation Area | Region: Canterbury"
"2079.4","2079.4","Anne Hut","hut","DOC","Waiau Pass Track","South","888","4","10.4","1.2","216","86","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6382f58f66104b849fd0cc8b6d4e885a.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: St James Conservation Area | Region: Canterbury"
"2080.5","2080.5","Ada Pass Hut","hut","DOC","Waiau Pass Track","South","880","7537","1.2","0.7","19","27","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/3ef43190e71441e2ac7e007c520f3049.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Lewis Pass Scenic Reserve | Region: West Coast"
"2081.3","2081.3","Cannibal Gorge Hut","hut","DOC","Waiau Pass Track","South","902","7721","0.7","11.6","24","3","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/0363733c4bb448eb95a957657c27f4df.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping next to hut included in The Trail Pass. Bookings required from 18th November | Place: Lewis Pass Scenic Reserve | Region: West Coast"
"2092.9","2092.9","Rokeby Hut","hut","DOC","Waiau Pass Track","South","856","57","11.6","4","341","387","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/2a848ba07ff04686b93e21b1d9c3f481.aspx","Category: Basic/bivvies | Facilities: Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: St James Conservation Area | Region: Canterbury"
"2096.9","2096.9","Boyle Flat Hut","hut","DOC","Waiau Pass Track","South","792","193","4","3.8","63","127","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/c298b98968594849a80ad6f77caee3f9.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: St James Conservation Area | Region: Canterbury"
"2100.6","2100.6","Magdalen Hut","hut","DOC","Waiau Pass Track","South","763","436","3.8","8.6","170","198","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/aba6d10d76174cbb857f7eb154f5b815.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Included in The Trail Pass | Place: St James Conservation Area | Region: Canterbury"
"2109.2","2109.2","Boyle Village","resupply","Resupply","Waiau Pass Track","South","583","5","8.6","0.1","156","337","","","","","","","","","","","No shop. Boyle River Outdoor Education Centre holds resupply boxes, sells basic food, beds $50. Accepts resupply boxes."
"2109.3","2109.3","Boyle Campsite","campsite","DOC","Waiau Pass Track","South","583","30","0.1","0.1","0","0","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6dcec8a03cce41b48e73eceec1bf47f0.aspx","Category: Standard | Facilities: Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"2109.4","2109.4","Hanmer Springs","town","Resupply","Waiau Pass Track","South","583","55000","0.1","19.9","0","0","","","","","","","","","","","Four Square, hot pools, backpackers. About 55 km off trail from Boyle; shuttle or hitch. Leave at Boyle Village on SH7; shuttle or hitch."
"2129.3","2129.3","Hope Halfway Hut","hut","DOC","Boyle to Arthur's Pass","South","567","20","19.9","7.4","413","429","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/2fb0c49defa5497694ecb21a8729bf29.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"2136.6","2136.6","Hope Kiwi Lodge","hut","DOC","Boyle to Arthur's Pass","South","640","20","7.4","17.7","168","95","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/b390bd24951444bc8de66e23e2ce547a.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Lake Sumner Forest Park | Region: Canterbury"
"2154.4","2154.4","Hurunui Hut","hut","DOC","Boyle to Arthur's Pass","South","615","24","17.7","10","456","481","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d3a1c61a8d574f1793a11c0c50d3c877.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"2164.3","2164.3","Hurunui No. 3 Hut","hut","DOC","Boyle to Arthur's Pass","South","643","11","10","3.7","224","195","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4154121ceee1404193f6875ed1abfb63.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"2168","2168","Camerons Hut","hut","DOC","Boyle to Arthur's Pass","South","699","2","3.7","5.6","64","8","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/614720484d7d47639e31a00f0f8248be.aspx","Category: Basic/bivvies | Facilities: Heating, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"2173.6","2173.6","Harper Pass Bivvy","hut","DOC","Boyle to Arthur's Pass","South","835","26","5.6","6.2","191","55","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/c2608ab3810e4048b84afe062a118688.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Lake Sumner Forest Park | Region: Canterbury"
"2179.7","2179.7","Locke Stream Hut","hut","DOC","Boyle to Arthur's Pass","South","498","15","6.2","8.1","210","547","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/e91a86acf13b4d3f9c500dfdcff98293.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: West Coast"
"2187.8","2187.8","Kiwi Hut","hut","DOC","Boyle to Arthur's Pass","South","337","306","8.1","25.2","8","169","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/9f385509c69a4f2888cc4e44126e4614.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: West Coast"
"2213","2213","Upper Deception Hut","hut","DOC","Boyle to Arthur's Pass","South","759","3","25.2","2.2","553","131","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/54f96dad3b8f4e758a282bce909bb920.aspx","Category: Basic/bivvies | Facilities: Heating, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: Canterbury"
"2215.2","2215.2","Goat Pass Hut","hut","DOC","Boyle to Arthur's Pass","South","1071","11","2.2","2.5","321","9","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/c4c0cef1b00541e29d54b1868c31a10c.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: Canterbury"
"2217.7","2217.7","Mingha Bivvy","hut","DOC","Boyle to Arthur's Pass","South","881","34","2.5","4.5","15","205","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d9bca4c384cd4dde80dd34c0a44f7246.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: Canterbury"
"2222.2","2222.2","Arthur's Pass","resupply","Resupply","Boyle to Arthur's Pass","South","721","4468","4.5","5.4","40","200","","","","","","","","","","","Arthur's Pass Cafe and Store: limited, expensive groceries. DoC centre sells gas. Mountain House holds boxes. Accepts resupply boxes."
"2227.5","2227.5","Klondyke Corner Campsite","campsite","DOC","Arthur's Pass to Rākaia River","South","637","52","5.4","7.5","13","97","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/85fde6766e364d50916d8bd9a296c4c7.aspx","Category: Standard | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Arthur's Pass National Park | Region: Canterbury"
"2235","2235","Bealey Hut","hut","DOC","Arthur's Pass to Rākaia River","South","732","25","7.5","5.6","147","51","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/ff5464f84f5941ecbb0cf1d5f74f80a2.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Craigieburn Forest Park | Region: Canterbury"
"2240.6","2240.6","Lagoon Saddle Hut","hut","DOC","Arthur's Pass to Rākaia River","South","1140","73","5.6","0","525","117","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/5cd35674f8c64fb69202dc08a7ec3048.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Craigieburn Forest Park | Region: Canterbury"
"2240.6","2240.6","Lagoon Saddle A Frame Hut","hut","DOC","Arthur's Pass to Rākaia River","South","1140","29","0","5.4","0","0","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/812020186f0542ec82f7b89efba7ff7e.aspx","Category: Basic/bivvies | Facilities: Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Craigieburn Forest Park | Region: Canterbury"
"2246.1","2246.1","West Harper Hut","hut","DOC","Arthur's Pass to Rākaia River","South","881","0","5.4","4","105","364","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/5d55aaf9dcda4f128dcb064d2dd26408.aspx","Category: Basic/bivvies | Facilities: Heating, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Craigieburn Forest Park | Region: Canterbury"
"2250.1","2250.1","Hamilton Hut","hut","DOC","Arthur's Pass to Rākaia River","South","779","467","4","19.5","43","145","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/4a41150c50884c8aac115ac9f6e1038c.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Craigieburn Forest Park | Region: Canterbury"
"2269.6","2269.6","Trustpower Campsite","campsite","Private","Arthur's Pass to Rākaia River","South","521","90","19.5","28.5","33","291","","","","","","","","","","","Facilities: Te Araroa"
"2298.1","2298.1","Lake Coleridge Village","food","Resupply","Arthur's Pass to Rākaia River","South","389","360","28.5","0.2","369","501","","","","","","","","","","","No shops. Powerhouse Lodge holds bounce boxes and has tent sites. Accepts resupply boxes."
"2298.3","2298.3","Methven","town","Resupply","Arthur's Pass to Rākaia River","South","370","48000","0.2","9.4","0","19","","","","","","","","","","","Two supermarkets, Alpine Sports for dehydrated meals and gas. Snow Denn Lodge holds boxes ($5). Shuttle from Rakaia. Leave at the Rakaia River; the river is a no-ford hazard zone, shuttle required. Accepts resupply boxes."
"2307.7","2307.7","A Frame Hut","hut","DOC","Rakaia River to Rangitata River","South","1039","3","9.4","6.6","767","186","Rakaia River","12.6","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8a09c4645ba44b39935b1d9cee6bd4c7.aspx","Category: Basic/bivvies | Facilities: Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Hakatere Conservation Park | Region: Canterbury"
"2314.3","2314.3","Comyns Hut","hut","DOC","Rakaia River to Rangitata River","South","865","0","6.6","16","114","289","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8b45fa6b67ad4953b812bb436484a73e.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Hakatere Conservation Park | Region: Canterbury"
"2330.4","2330.4","Double Hut","hut","DOC","Rakaia River to Rangitata River","South","842","742","16","5.2","788","810","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8f9b36848ae5410e93845b7bd6cfe2b0.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Hakatere Conservation Park | Region: Canterbury"
"2335.6","2335.6","Manuka Hut","hut","DOC","Rakaia River to Rangitata River","South","776","246","5.2","12.5","48","114","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/5e9f00e5868243a1a0e1244f18ee8b26.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Hakatere Conservation Park | Region: Canterbury"
"2348.1","2348.1","Peel Forest Campground","campsite","DOC","Rakaia River to Rangitata River","South","656","34747","12.5","19.7","117","237","","","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/f8912a8f305b4d6d9202de2ae3bd9da0.aspx","Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Peel Forest Park Scenic Reserve | Region: Canterbury"
"2367.8","2367.8","Geraldine","town","Resupply","Rakaia River to Rangitata River","South","558","70000","19.7","0","311","409","","","","","","","","","","","Supermarket and accommodation. About 70 km from the Rangitata via Methven; community shuttle $24. Leave at the Rangitata River; community shuttle $24, book two days ahead."
"2367.8","2367.8","Peel Forest","resupply","Resupply","Rakaia River to Rangitata River","South","558","50000","0","0","0","0","","","","","","","","","","","DoC Peel Forest camp and a small store. Homestay offers transport to the trailhead. Leave at the Rangitata River."
"2367.8","2367.8","Mesopotamia Station","food","Resupply","Rakaia River to Rangitata River","South","558","2500","0","0","0","0","","","","","","","","","","","Historic station near the Rangitata; holds food parcels. Leave at the Rangitata River crossing. Accepts resupply boxes."
"2367.8","2367.8","Mt Potts Lodge","food","Resupply","Rakaia River to Rangitata River","South","558","3000","0","10.1","0","0","","","","","","","","","","","Cafe and restaurant, closed Tue/Wed, book meals ahead. Has held food parcels; check first. Leave at the Rangitata River crossing. Accepts resupply boxes."
"2377.9","2377.9","Crooked Spur Hut","hut","DOC","Two Thumb Track","South","1039","9","10.1","9.5","731","207","Rangitata River","7","","","","Yes","","","","https://www.doc.govt.nz/link/373a2b15dad84a0fb7390dbf722fe9b4.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Te Kahui Kaupeka Conservation Park | Region: Canterbury"
"2387.4","2387.4","Stone Hut","hut","DOC","Two Thumb Track","South","1097","0","9.5","6.1","680","622","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/2082b5f1f26e4b41b7e9785e5e351562.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Te Kahui Kaupeka Conservation Park | Region: Canterbury"
"2393.5","2393.5","Royal Hut","hut","DOC","Two Thumb Track","South","1329","10","6.1","14.9","274","42","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/ebb4105a6add495b959bf1ace1ef2c2a.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Te Kahui Kaupeka Conservation Park | Region: Canterbury"
"2408.4","2408.4","Camp Stream Hut","campsite","Private","Two Thumb Track","South","1228","11","14.9","33.7","684","785","","","","","","","","","","",""
"2442.1","2442.1","Lake Tekapo","town","Resupply","Two Thumb Track","South","722","2","33.7","0.3","345","852","","","","","","","","","","","Large Four Square, cafes. Tailormade Backpackers and Bespoke Bikes receive bounce boxes. Accepts resupply boxes."
"2442.3","2442.3","Lake Tekapo Motels & Holiday Park","caravan-park","Private","Tekapo to Lake Ōhau","South","727","973","0.3","32.1","5","0","","","","","","","0800 853 853","2 Lakeside Drive, Lake Tekapo","","http://www.laketekapo-accommodation.co.nz/","Facilities: Budget holiday park accommodation, backpacker accommodation, motorcamp, campervan sites, tourist flats, tent sites for camping and cabins with all the modern campground facilities | Address: 2 Lakeside Drive, Lake Tekapo | Phone: 0800 853 853 | Website: http://www.laketekapo-accommodation.co.nz/ | Categories: Motel RVPark"
"2474.4","2474.4","Pylon Campsite","campsite","Private","Tekapo to Lake Ōhau","North","602","38","32.1","10.6","142","267","","","","","","","","","","",""
"2485","2485","Pines Campsite","campsite","Private","Tekapo to Lake Ōhau","South","541","22","10.6","11.6","130","191","","","","","","","","","","",""
"2496.6","2496.6","Twizel","town","Resupply","Tekapo to Lake Ōhau","South","465","530","11.6","29.3","48","124","","","","","","","","","","","Two Four Squares, Southern Alps Outdoors for gas. High Country Lodge holds parcels. Accepts resupply boxes."
"2525.9","2525.9","Lake Middleton Campsite","campsite","DOC","Tekapo to Lake Ōhau","South","526","182","29.3","18.9","260","199","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/b9fbfc5a98724008b2b85928467800c6.aspx","Category: Standard | Facilities: Boat launching, Dump station, Non-powered/tent sites, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Twizel area | Region: Canterbury"
"2544.8","2544.8","East Ahuriri Hut","hut","DOC","East Ahuriri Track","South","1004","349","18.9","21","985","508","","","6","","","Yes","","","","","Category: Backcountry | Facilities: 6 Bunks | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ahuriri Conservation Park | Region: Canterbury"
"2565.7","2565.7","Tin Hut (Private)","campsite","Private","Breast Hill Track","South","933","5","21","13.3","353","423","","","","","","","","","","",""
